0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
"
06MAGNA



","3,7800","0,0000","0,00%",90,118 633,"3,7400","3,8800","3,7400",02.01 17:00
"
08OCTAVA



","0,9500","-0,0400","-4,04%",2,10,"0,9500","0,9500","0,9500",02.01 15:00
"
11BIT



","543,0000","2,0000","0,37%",455,1 863 407,"544,0000","557,0000","542,0000",02.01 17:01
"
3RGAMES



","0,4150","0,0160","4,01%",27,3 286,"0,4100","0,4150","0,4030",02.01 15:40
"
ABPL



","74,2000","-0,8000","-1,07%",155,441 550,"75,0000","76,6000","74,0000",02.01 17:00
"
ACAUTOGAZ



","25,9000","-0,1000","-0,38%",21,28 191,"26,0000","26,0000","25,8000",02.01 16:18
"
ACTION



","19,2200","0,0000","0,00%",169,194 672,"18,9000","19,3000","18,9000",02.01 17:00
"
ADIUVO



","0,9200","0,0300","3,37%",9,5 374,"0,9400","0,9400","0,8700",02.01 09:50
"
AGORA



","11,3500","-0,0500","-0,44%",80,256 161,"11,5000","11,6500","11,2000",02.01 17:00
"

",,,,,,,,,
"
AGROTON



","2,4000","-0,1300","-5,14%",46,10 003,"2,5200","2,5200","2,3900",02.01 17:00
"
AIGAMES



","1,5800","0,0100","0,64%",13,6 240,"1,5700","1,6000","1,5700",02.01 14:45
"
AILLERON



","18,3000","-0,3500","-1,88%",91,85 293,"18,7500","18,7500","18,1500",02.01 17:00
"
AIRWAY



","0,2900","0,0000","0,00%",263,309 528,"0,2850","0,2995","0,2700",02.01 17:03
"
ALIOR



","73,0000","-3,3400","-4,38%",2 618,13 145 213,"76,1000","76,3400","72,2600",02.01 17:01
"
ALLEGRO



","31,3100","-2,0150","-6,05%",14 431,90 762 720,"33,3250","33,3500","31,3100",02.01 17:02
"
ALTA



","1,7700","0,0200","1,14%",15,32 375,"1,7900","1,8100","1,7200",02.01 17:00
"
ALTUS



","2,8400","0,5400","23,48%",163,1 058 515,"2,3000","3,0200","2,3000",02.01 17:04
"
ALUMETAL



","81,3000","0,1000","0,12%",20,97 608,"81,3000","81,3000","81,2000",02.08 15:49
"
AMBRA



","29,7000","0,2000","0,68%",161,364 060,"29,6000","29,7000","28,4000",02.01 17:00
"
AMICA



","80,9000","-2,1000","-2,53%",207,376 106,"82,0000","83,5000","80,6000",02.01 17:03
"
AMPLI



","0,9100","0,0100","1,11%",1,992,"0,9100","0,9100","0,9100",29.12 15:00
"
AMREST



","26,4000","-0,2000","-0,75%",443,2 220 678,"27,1000","27,6000","26,0000",02.01 17:00
"
ANSWEAR



","29,8000","0,0000","0,00%",86,205 108,"30,1000","30,5000","29,6000",02.01 16:43
"
APATOR



","15,9500","0,2500","1,59%",339,725 499,"15,7500","16,5000","15,6000",02.01 17:00
"
APLISENS



","23,2000","0,6000","2,65%",51,153 320,"23,2000","23,2000","22,6000",02.01 17:00
"
APSENERGY



","3,7200","-0,0300","-0,80%",15,9 147,"3,7700","3,7700","3,5400",02.01 16:05
"
ARCHICOM



","26,6000","-1,1000","-3,97%",44,80 824,"28,3000","28,3000","26,5000",02.01 17:00
"
ARCTIC



","21,4000","-0,9500","-4,25%",876,2 029 818,"22,3500","22,3500","20,6500",02.01 17:03
